intrans,trans,intrans_nouns,trans_nouns,trans_subjects
くっ付く,くっ付ける,"磁石, ２つのもの, 汚れ","磁石, ２つのもの, 汚れ","人, 私, 誰か"
下る,下す,"階段, 坂, 判断","階段, 坂, 判断","人, 私, 誰か"
並ぶ,並べる,"人, 本, 皿","人, 本, 皿","人, 私, 誰か"
乗る,乗せる,"電車, 車, 荷物","電車, 車, 荷物","人, 私, 友達"
乱れる,乱す,"髪, 風紀, 秩序","髪, 風紀, 秩序","人, 私, 風"
乾く,乾かす,"服, 洗濯物, 髪","服, 洗濯物, 髪","人, 私, 友達, 太陽"
交る,交す,"挨拶, 約束, 視線","挨拶, 約束, 視線","人, 私, 誰か"
仕上がる,仕上げる,"仕事, 料理, 作品","仕事, 料理, 作品","人, 私, 料理人"
休む,休める,"体, 仕事, 頭","体, 頭","人, 私, 誰か"
伝わる,伝える,"話, ニュース, 気持ち","話, ニュース, 気持ち","人, 私, 誰か"
倒れる,倒す,"木, 人, 椅子","木, 人, 椅子","人, 私, 子供"
備わる,備える,"才能, 能力, 設備","才能, 能力, 設備","人, 私, 誰か"
傷つく,傷つける,"心, 体, 評判","心, 体, 評判","人, 言葉"
傾く,傾ける,"建物, 体, 頭","建物, 体, 頭","人, 私, 誰か"
儲かる,儲ける,"お金, 利益, 仕事","お金, 利益, 仕事","人, 会社, 私"
入る,入れる,"友達, お金, 荷物, 水","銀行, 部屋, 家","人, 私, 誰か"
写る,写す,"姿, 景色, 顔","姿, 景色, 顔","カメラ, 私, 誰か"
冷える,冷す,"飲み物, 体, ビール","飲み物, 体, ビール","人, 料理人, 私"
出る,出す,"荷物, ゴミ, 手紙","荷物, ゴミ, 手紙","人, 私, 誰か"
分かる,分ける,"答え, 役割, 食べ物","答え, 役割, 食べ物","人, 私, 友達"
加わる,加える,"力, メンバー, 情報","力, メンバー, 情報","人, 私, 誰か"
助かる,助ける,"命, 人, 困った状況","命, 人, 困った状況","人, 私, 誰か"
動く,動かす,"車, 機械, 体, 手","車, 機械, 体, 手","人, 私, 誰か"
収まる,収める,"収益, 荷物, 怒り","収益, 荷物, 怒り","人, 私, 誰か"
回る,回す,"車輪, 体, ネジ","車輪, ネジ","人, 私, 誰か"
固まる,固める,"コンクリート, 決意, ゼリー","コンクリート, 決意, ゼリー","人, 私, 職人, 会社"
増える,増やす,"人口, 体重, 収入","人口, 体重, 収入","人, 会社, 政府"
壊れる,壊す,"機械, 車, パソコン, 時計","機械, 車, パソコン, 時計","人, 子供, 職人"
売れる,売る,"商品, 才能, 名前","商品, 才能, 名前","人, 会社, 私"
変わる,変える,"意見, 状況, 予定, 色","意見, 状況, 予定, 色","人, 私, 会社"
外れる,外す,"ボタン, 予定, 期待","ボタン, 予定, 期待","人, 私, 誰か"
始まる,始める,"授業, 映画, プロジェクト","授業, 映画, プロジェクト","先生, 社長, 私"
定まる,定める,"予定, 目的, 方針","予定, 目的, 方針","人, 私, 会社"
寄る,寄せる,"車, 人, 思い出","車, 人, 思い出","人, 私, 誰か"
